Id,ORIG_FID,STATE_ROUT,pos,X,Y,pro_X,pro_Y,Index,Elevation
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.41840000000,41.49600000000,381611.00000000000,4594790.00000000000,1489,39104
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.42650000000,41.49600000000,380936.00000000000,4594800.00000000000,1490,39237
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.43450000000,41.49600000000,380262.00000000000,4594810.00000000000,1491,38746
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.44260000000,41.49600000000,379587.00000000000,4594830.00000000000,1492,39843
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.36690000000,41.49530000000,385903.00000000000,4594650.00000000000,841,37768
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.35920000000,41.49300000000,386544.00000000000,4594380.00000000000,842,37048
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.35110000000,41.49290000000,387218.00000000000,4594360.00000000000,843,37308
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.34300000000,41.49290000000,387893.00000000000,4594350.00000000000,844,36327
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.33500000000,41.49290000000,388568.00000000000,4594340.00000000000,845,36442
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.32690000000,41.49290000000,389243.00000000000,4594330.00000000000,846,37470
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.31880000000,41.49290000000,389917.00000000000,4594310.00000000000,847,36860
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.31070000000,41.49290000000,390592.00000000000,4594300.00000000000,848,36797
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.30260000000,41.49290000000,391267.00000000000,4594290.00000000000,849,36520
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.30560000000,41.49310000000,391017.00000000000,4594320.00000000000,1475,36615
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.31370000000,41.49310000000,390342.00000000000,4594330.00000000000,1476,36777
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.32180000000,41.49310000000,389667.00000000000,4594340.00000000000,1477,37088
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.32990000000,41.49310000000,388992.00000000000,4594350.00000000000,1478,37262
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.33800000000,41.49310000000,388318.00000000000,4594370.00000000000,1479,35956
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.34600000000,41.49310000000,387643.00000000000,4594380.00000000000,1480,36661
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.35410000000,41.49320000000,386968.00000000000,4594390.00000000000,1481,36974
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.36210000000,41.49390000000,386301.00000000000,4594480.00000000000,1482,37413
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.36990000000,41.49610000000,385659.00000000000,4594740.00000000000,1483,37881
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.29450000000,41.49290000000,391942.00000000000,4594280.00000000000,850,35498
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.28650000000,41.49290000000,392616.00000000000,4594280.00000000000,851,35087
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.27840000000,41.49290000000,393291.00000000000,4594270.00000000000,852,34862
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.27030000000,41.49300000000,393966.00000000000,4594260.00000000000,853,35160
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.26220000000,41.49300000000,394641.00000000000,4594250.00000000000,854,34498
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.25410000000,41.49300000000,395316.00000000000,4594250.00000000000,855,35377
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.24600000000,41.49320000000,395991.00000000000,4594260.00000000000,856,35240
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.23800000000,41.49350000000,396665.00000000000,4594280.00000000000,857,34462
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.22990000000,41.49370000000,397340.00000000000,4594300.00000000000,858,34159
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.24900000000,41.49330000000,395740.00000000000,4594280.00000000000,1468,35587
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.25710000000,41.49320000000,395065.00000000000,4594270.00000000000,1469,34733
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.26520000000,41.49320000000,394391.00000000000,4594280.00000000000,1470,35003
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.27330000000,41.49320000000,393716.00000000000,4594290.00000000000,1471,35152
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.28140000000,41.49310000000,393041.00000000000,4594290.00000000000,1472,34873
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.28950000000,41.49310000000,392366.00000000000,4594300.00000000000,1473,35411
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.29750000000,41.49310000000,391691.00000000000,4594310.00000000000,1474,35965
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.23240000000,41.49390000000,397131.00000000000,4594320.00000000000,1736,34307
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.24050000000,41.49360000000,396456.00000000000,4594300.00000000000,1737,34606
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.22190000000,41.49440000000,398012.00000000000,4594360.00000000000,859,34088
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.21500000000,41.49860000000,398586.00000000000,4594830.00000000000,860,34784
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.20870000000,41.50360000000,399126.00000000000,4595370.00000000000,861,33579
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.20230000000,41.50860000000,399663.00000000000,4595920.00000000000,862,33753
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.19600000000,41.51360000000,400201.00000000000,4596470.00000000000,863,32887
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.18900000000,41.51750000000,400789.00000000000,4596890.00000000000,864,33006
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.18090000000,41.51780000000,401463.00000000000,4596910.00000000000,865,33482
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.17290000000,41.51780000000,402137.00000000000,4596900.00000000000,866,32895
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.16480000000,41.51770000000,402812.00000000000,4596890.00000000000,867,31200
0,4,"STATE OF IOWA, I 80 E",I80E_left,-94.15670000000,41.51770000000,403486.00000000000,4596880.00000000000,868,30918
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.15920000000,41.51790000000,403277.00000000000,4596900.00000000000,1726,31162
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.16730000000,41.51800000000,402603.00000000000,4596920.00000000000,1727,31816
0,6,"STATE OF IOWA, I 80 W",I80W_left,-94.17540000000,41.51800000000,401928.00000000000,4596930.00000000000,1728,33189
